slug,name,category,subcategory,industries,color,featured,image,shortNote,dn,temp,pressure,vacuum,wallThickness,bendRadius,standardLength,material,reinforcement,colorsAvailable,certifications,origin,sizes,description
pvc-vent,PVC žarna „Vent“,pvc,Su PVC spirale,vent|chem|agri,navy,1,/products/prod-black-spiral.jpg,"Galvanika, sėjamosios, vėdinimas",40–315 mm,−10…+70 °C,"Žemo slėgio (iki 0,5 bar pagal DN)",iki 8 m H₂O,"0,6 / 0,8 / 1,0 mm","≈ 1,0 × DN",30 m ritinyje,Minkštas PVC,"Kieta, smūgiams atspari PVC spiralė",Juoda · pilka · mėlyna,REACH · RoHS,Lenkija / ES,DN40|DN50|DN63|DN75|DN90|DN102|DN110|DN127|DN152|DN200|DN254|DN315,"Slėginė-siurbimo PVC žarna su kieta, smūgiams atsparia PVC spirale. Skirta vėdinimo sistemoms, dujų ir dulkių ištraukimui, galvanikos garams bei žemės ūkio sėjamosioms ir purkštuvams. Vidinis paviršius lygus – neleidžia kauptis nuosėdoms; išorė šiek tiek rebrinta. Pasižymi geru atsparumu vakuumui, slėgio impulsams, dilimui ir atmosferos poveikiui. Standartinė spalva – juoda; užsakymu galima pilka arba mėlyna."
pvc-agrochem,PVC žarna „Agrochem“,pvc,Su PVC spirale,agri|spec,navy,0,/products/prod-pvc-clear.jpg,"Trąšos, srutos, vakuumas",25–200 mm,−10…+60 °C,1–4 bar,,,,30 m ritinyje,Minkštas PVC,PVC spiralė,,REACH · RoHS,Lenkija / ES,,"Slėginė-siurbimo žarna techninio vandens, srutų, trąšų ir KAS transportavimui. Lygus vidinis paviršius, geras atsparumas vakuumui ir dilimui."
pvc-vacuum,PVC žarna „Vakuum“,pvc,Su PVC spirale,agri|spec,navy,0,/products/prod-clear-spiral.jpg,"Žemkasių, motopompų",32–250 mm,−10…+60 °C,Vakuuminė,,,,30 m ritinyje,Minkštas PVC,PVC spiralė,,REACH · RoHS,Lenkija / ES,,"Vakuuminė PVC žarna motopompoms ir žemkasėms. Atspari suspaudimui, išlaiko formą esant vakuumui."
pvc-grin,PVC žarna „Grin“,pvc,Su PVC spirale,agri,navy,0,/products/prod-grey-corrugated.jpg,"Žemkasiai, motopompos",40–200 mm,−10…+60 °C,1–3 bar,,,,,Minkštas PVC,PVC spiralė,,,Lenkija / ES,,Universali žemės ūkio PVC žarna vandens ir skystų trąšų perpylimui.
pvc-a1,Tipas A1. PVC — lengva konstrukcija,pvc,Su metalo spirale,wood|chem|vent,navy,0,/products/prod-white.jpg,"Baldų gamyba, drožlių siurbliai",50–500 mm,−10…+80 °C,"Iki 0,3 bar",,,,,Minkštas PVC,Metalo spiralė,,,Lenkija / ES,,Lengvos konstrukcijos PVC žarna su metalo spirale drožlių ir dulkių ištraukimui.
pvc-a2,Tipas A2. PVC — sunki konstrukcija,pvc,Su metalo spirale,wood|vent,navy,0,/products/prod-black-spiral.jpg,"Masyvų apdirbimas, garai",50–500 mm,−10…+80 °C,"Iki 0,5 bar",,,,,Minkštas PVC,Metalo spiralė,,,Lenkija / ES,,Sunkios konstrukcijos PVC žarna intensyviam masyvų apdirbimui ir garams.
pvc-a6,Tipas A6. PVC — vidutinė konstrukcija,pvc,Su metalo spirale,wood|vent,navy,0,/products/prod-grey-corrugated.jpg,"Baldų gamyba, garai",50–400 mm,−10…+70 °C,"Iki 0,4 bar",,,,,Minkštas PVC,Metalo spiralė,,,Lenkija / ES,,Vidutinės konstrukcijos PVC žarna baldų gamybai ir garų ištraukimui.
pvc-s2,Tipas S2. PVC — superlengva,pvc,Su metalo spirale,wood|vent|chem,navy,0,/products/prod-clear-spiral.jpg,Rankinis naudojimas,50–500 mm,−10…+70 °C,"Iki 0,2 bar",,,,,Minkštas PVC,Metalo spiralė,,,Lenkija / ES,,Itin lengva PVC žarna rankiniam naudojimui ir lengvam dulkių ištraukimui.
pur-vc1-04,"Tipas VC1. PUR — 0,4 mm",pur,Su PVC spirale,agri,red,0,/products/prod-pur-clear.jpg,"Sėjamosios, grūdai",40–200 mm,−40…+90 °C,"Iki 0,4 bar",,"0,4 mm",,,Poliuretanas,PVC spiralė,,,Lenkija / ES,,Poliuretano žarna abrazyvinėms granulėms ir grūdams. Aukštas atsparumas dilimui.
pur-vc1-06,"Tipas VC1. PUR — 0,6 mm",pur,Su PVC spirale,agri,red,0,/products/prod-pur-tan.jpg,Granuliatoriai,40–200 mm,−40…+90 °C,"Iki 0,6 bar",,"0,6 mm",,,Poliuretanas,PVC spiralė,,,Lenkija / ES,,Sustiprintos sienelės PUR žarna granuliatoriams ir pneumotransportui.
pur-b1,Tipas B1. PUR — lengva konstrukcija,pur,Su metalo spirale,wood|agri|spec,red,0,/products/prod-orange.jpg,"Granulės, drožlės",50–500 mm,−40…+90 °C,"Iki 0,5 bar",,,,,Poliuretanas,Metalo spiralė,,,Lenkija / ES,,Lengva PUR žarna su metalo spirale granulėms ir drožlėms transportuoti.
pur-b2,Tipas B2. PUR — sunki konstrukcija,pur,Su metalo spirale,wood|agri,red,0,/products/prod-pur-tan-2.jpg,"Masyvai, pneumotransportas",50–500 mm,−40…+90 °C,"Iki 0,8 bar",,,,,Poliuretanas,Metalo spiralė,,,Lenkija / ES,,Sunki PUR žarna intensyviam pneumotransportui ir masyvioms medžiagoms.
pur-c1,Tipas C1. PUR folija — superlengva,pur,Su metalo spirale,wood|spec,red,0,/products/prod-pur-pink.jpg,"CNC, vakuum. siurbliai",50–500 mm,−40…+90 °C,"Iki 0,3 bar",,,,,PUR folija,Metalo spiralė,,,Lenkija / ES,,Itin lengva PUR folijinė žarna CNC staklėms ir vakuuminiams siurbliams.
pur-deptak,Žarna išmetamosioms dujoms „DEPTAK“,pur,Su PVC spirale,exhaust,red,0,/products/prod-dark-brown.jpg,Auto servisai,75–200 mm,Iki +180 °C,Žemo slėgio,,,,,Poliuretanas,PVC spiralė,,,Lenkija / ES,,Aukštatemperatūrinė žarna automobilių išmetamosioms dujoms šalinti servisuose.
klin-k1b,KLIN K1/B. Teflonas (PTFE),klin,Tefloninės,chem|vent,navy,0,/products/prod-white.jpg,Chemikalų garai,50–300 mm,−70…+260 °C,"Iki 0,1 bar",,,,,PTFE (teflonas),Metalo spiralė,,,ES,,Tefloninė PTFE žarna agresyviems chemikalų garams ir aukštoms temperatūroms.
klin-k2a,KLIN K2/A. Stiklo pluoštas,klin,Stiklo pluošto,exhaust|vent,navy,0,/products/prod-grey-corrugated.jpg,Aliuminizuotas audinys,50–500 mm,Iki +550 °C,Žemo slėgio,,,,,Stiklo pluoštas,Stiklo pluošto audinys,,,ES,,Aukštatemperatūrinė stiklo pluošto žarna karštų dujų ištraukimui iki +550 °C.
klin-k9a,KLIN K9/A. Aukštatemperatūrinis,klin,Stiklo pluošto,exhaust|vent,navy,0,/products/prod-silver.jpg,Stiklo p. + nerūd. tinklas,75–400 mm,Iki +1100 °C,Žemo slėgio,,,,,Stiklo pluoštas,Nerūdijančio plieno tinklas,,,ES,,Itin aukštos temperatūros žarna iki +1100 °C su nerūdijančio plieno armatūra.
met-c,"Metalinė žarna iš nerūdijančio plieno, tipas C",metal,Nerūdijantis plienas,exhaust|chem,silver,0,/products/prod-silver.jpg,"Lanksti, lygus paviršius",10–200 mm,Iki +600 °C,Žemo slėgio,,,,,Nerūdijantis plienas (AISI 304),,,,ES,,Lanksti nerūdijančio plieno žarna karštoms dujoms; lygus vidinis paviršius.
met-a,"Cinkuoto plieno žarna, tipas A",metal,Cinkuotas plienas,exhaust|vent,silver,0,/products/prod-silver.jpg,Ekonomiškas variantas,12–150 mm,Iki +300 °C,Žemo slėgio,,,,,Cinkuotas plienas,,,,ES,,Ekonomiška cinkuoto plieno žarna vidutinių temperatūrų dujoms ir vėdinimui.
fit-aa-al,"Camlock perėjiklis tipas AA, aliuminis",fittings,Camlock aliuminis,oil|agri,silver,0,/products/prod-silver.jpg,ISO standartas,1/2″–6″,−20…+120 °C,Iki 16 bar,,,,,Aliuminis,,,ISO 1787,ES,,"Camlock greitojo sujungimo perėjiklis tipas AA, aliuminis. Atitinka ISO standartą."
fit-aa-ss,"Camlock perėjiklis tipas AA, nerūdijantis",fittings,Camlock nerūdijantis,chem|food,silver,0,/products/prod-silver.jpg,AISI 304/316,1/2″–6″,−20…+150 °C,Iki 16 bar,,,,,Nerūdijantis plienas (AISI 304/316),,,,ES,,Nerūdijančio plieno Camlock perėjiklis maisto ir chemijos pramonei.
